published,last_update,category,views,recommendations,comments,authors,characters,rating,genre,size_kb,warnings,translators,original_language,betas,series,challenge,title,events,target
2017-11-14,2017-11-14,H,1215,2,6,['40566'],"[['Панси Паркинсон', 'Блейз Забини'], 'Драко Малфой', 'Миллисент Буллстроуд']",PG-13,['Общий'],21,,,,,,,"[8.53823578021728e+18, 2.559603217631601e+18, 8.727732019339921e+18]",[],55
2013-11-30,2013-11-30,H,8816,1,34,['102114'],"[['Люциус Малфой', 'Луна Лавгуд'], 'Гаррик Олливандер']",PG-13,"['Фэнтези', 'Пропущенная сцена', 'Романтика']",54,['От первого лица (POV)'],,,"['98009', '64137']",/serie367,,"[6.4942389745465e+18, 2.152345371261475e+18, 6.045504692610374e+18]","[2.593952817060485e+18, 7.285076916399111e+18, 5.094213349881865e+18, 2.531777133842788e+18, 2.2622014820230628e+18, 8.583542024877844e+18, 9.16433052224095e+18, 5.494196018564324e+18]",202
2015-11-14,2015-11-14,H,3575,0,4,['Savva'],"[['Блейз Забини', 'Гермиона Грейнджер']]",R,['Романтика'],12,"['AU', 'ООС']",['109663'],Английский,,,,"[2.7709106017088573e+18, 3.3712177487256806e+17]","[9.093989600810537e+18, 6.910148155097983e+17]",143
2019-03-18,2019-03-18,H,753,0,0,['491441'],"[['Гарри Поттер', 'Шерил Блоссом']]",R,"['Ангст', 'Кроссовер', 'Драма']",31,"['AU', 'ООС']",,,['61761'],/serie2019,/challenge81,"[3.652116004099584e+17, 1.018987452128761e+18]","[9.141967877688732e+18, 2.8585779133222564e+18, 2.3210451603525796e+18]",18
2011-10-13,2011-10-13,G,6111,0,14,['53250'],"['Лорд Волдеморт (Том Риддл)', 'Гарри Поттер']",не указан,"['Пародия', 'Юмор']",7,,,,['52909'],,,"[6.378715039610308e+18, 3.128784220404408e+18, 1.8548292901903713e+18]",[2.531777133842788e+18],57
2018-12-17,2018-12-17,G,4265,3,23,['172078'],"['Альбус Дамблдор', 'Джеймс Поттер']",R,"['Комедия', 'Юмор', 'Пародия']",9,"['AU', 'ООС', 'Нецензурная лексика']",,,['140425'],/serie445,,"[8.385596860157231e+18, 2.6534188963765745e+18, 5.40089922393052e+18, 6.660651855566895e+18, 4.372944955536757e+18]","[7.678966060302864e+18, 6.045112493022642e+18]",348
2018-03-21,2018-03-21,S,1989,1,4,['386333'],"[['Маркус Флинт', 'Оливер Вуд']]",PG-13,['Романтика'],18,['AU'],,,"['42546', '105190']",,/challenge56,"[6.308919179551221e+18, 6.670588042922536e+18, 2.559603217631601e+18, 7.245877214176003e+18]",[],141
2018-01-02,2019-06-25,S,70903,11,230,"['307123', '202806']","[['Северус Снейп', 'Гарри Поттер'], 'Кингсли Шеклболт']",NC-17,"['Ангст', 'Первый раз', 'Даркфик']",60,"['AU', 'ООС']",,,,/serie1576,,"[1.4420049118192689e+18, 3.08892752352933e+18, 4.3619862342007096e+18, 1.192652574820563e+17]","[9.093989600810537e+18, 5.091602363353723e+18, 7.260920065589541e+18, 3.613509134815139e+18]",2476
2015-08-14,2015-08-14,G,4309,5,66,"['232646', '52909']","['Лорд Волдеморт (Том Риддл)', 'Драко Малфой', 'Хедвиг']",PG-13,"['Комедия', 'Юмор']",16,"['ООС', 'От первого лица (POV)']",,,"['57013', '65300']",,,"[8.989760369905152e+18, 7.393011223078967e+18, 5.496656227895958e+18]","[3.281018045554982e+18, 2.531777133842788e+18, 2.2622014820230628e+18]",154
2016-02-09,2016-02-09,G,2069,2,2,['278014'],"['Дафна Гринграсс', 'Астория Гринграсс']",R,"['Ангст', 'Драма']",17,,,,,,,[1.1123514570812106e+18],[],61
2014-07-11,2014-07-11,G,3231,0,6,['41414'],"['Августа Лонгботтом', 'Джон Долиш']",General,"['Экшен', 'Общий', 'Пропущенная сцена']",9,['От первого лица (POV)'],,,,/serie937,/challenge25,"[6.88267520511046e+18, 2.7106988900042936e+18, 6.370576801079799e+18]","[2.593952817060485e+18, 2.2622014820230628e+18]",66
2012-09-16,2012-09-27,S,43248,3,118,['43957'],"[['Гарри Поттер', 'Драко Малфой'], ['Люциус Малфой', 'Нарцисса Малфой'], 'Блейз Забини', 'Панси Паркинсон']",PG-13,"['Юмор', 'Романтика']",32,['Авторы исправили ошибку мироздания и провели перераспределение. Ave Slytherin!'],,,['56676'],/serie218,,"[4.5780325434007404e+18, 7.868909843854817e+17]",[2.4441062145608262e+17],1016
2019-08-26,2019-08-26,G,370,0,6,['37621'],"['Беллатриса Лестрейндж', 'Сириус Блэк']",PG-13,['Драма'],4,,,,,,,"[1.5750746057510244e+18, 7.720220462696352e+18]",[],21
2008-01-12,2008-01-13,S,246372,56,249,['38453'],"[['Гарри Поттер', 'Северус Снейп']]",NC-17,"['Романтика', 'Драма', 'Ангст']",589,"['Слэш', 'но  вообще-то все довольно наивно', ' прямолинейно и предсказуемо', 'включая happy end', 'с которого', 'собственно', 'все и начинается :)']",,,,,,"[1.5424586035714163e+18, 5.670625111879601e+18]",[8.948249269879234e+18],4192
2010-09-19,2010-09-19,S,12124,0,16,['43144'],"[['Люциус Малфой', 'Лорд Волдеморт (Том Риддл)']]",NC-17,['Романтика'],16,,,,,,,"[1179438858044915.0, 3.9236713265676524e+18]","[5.091602363353723e+18, 2.593952817060485e+18, 2.531777133842788e+18]",103
2017-10-29,2017-11-18,H,27349,2,161,"['216983', '221445']","[['Северус Снейп', 'Гермиона Грейнджер']]",R,"['Комедия', 'Юмор']",193,"['AU', 'ООС', 'Гет']",,,,,,"[7.147785961448404e+18, 3.839387635374851e+18]","[9.093989600810537e+18, 2.593952817060485e+18]",555
2017-11-06,2017-11-06,G,1570,0,2,['47036'],"['Альбус Северус Поттер', 'Лили Эванс (Лили Поттер)', 'Джеймс Поттер', 'Гарри Поттер']",General,"['Флафф', 'Мистика']",11,,,,['172078'],,,"[3.8468055674252063e+18, 4.878482200504294e+18]","[9.093989600810537e+18, 2.4209866212287263e+18, 9.049884987810632e+17]",57
2013-06-13,2013-06-13,G,4379,0,9,['43196'],"[['Северус Снейп', 'Лили Эванс (Лили Поттер)', 'Неизвестный Персонаж']]",General,['Драма'],12,,,,,,,"[8.650991245767636e+18, 3.17452983691152e+18]",[7.678966060302864e+18],66
2013-11-01,2013-11-09,S,12797,0,11,['41915'],"[['Северус Снейп', 'Люциус Малфой', 'Нарцисса Малфой']]",PG-13,"['Экшен', 'Приключения', 'Романтика']",68,"['В фике не только слэш', 'но и гет тоже.']",,,,,,[3.450726786462102e+17],"[8.607079560928971e+18, 2.531777133842788e+18]",139
2011-08-30,2011-08-30,S,10491,0,5,['36207'],"['Люциус Малфой', 'Сириус Блэк']",NC-17,['Драма'],73,,,,['35886'],,,[2.3296323138665457e+18],"[2.593952817060485e+18, 7.285076916399111e+18]",86
2017-11-22,2017-11-22,G,4473,4,24,"['243055', '200001']","['Тревор', 'Новый Женский Персонаж', 'Невилл Лонгботтом', 'Августа Лонгботтом', 'Северус Снейп', 'Альбус Дамблдор', 'Рубеус Хагрид', 'Сильванус Кеттлберн', 'Минерва МакГонагалл', 'Гермиона Грейнджер']",R,['Юмор'],16,"['AU', 'Нецензурная лексика', 'От первого лица (POV)']",,,['220954'],,,[9.160803134072596e+18],"[9.219929389783464e+18, 8.913004958747984e+18]",298
2017-01-09,2017-01-09,G,9145,8,124,"['241984', '203207']","['Северус Снейп', 'Гарри Поттер', 'Альбус Дамблдор', 'Рон Уизли', 'Гермиона Грейнджер']",PG-13,['Общий'],11,"['AU', 'ООС']",,,['235701'],/serie1225,/challenge36,"[7.490462276861294e+18, 3.674299210576143e+18, 5.69142631640174e+18]","[9.141967877688732e+18, 2.681382792024587e+18]",558
2014-07-10,2014-12-08,G,199867,17,313,['sprinter1988'],"[['Гарри Поттер', 'Гермиона Грейнджер']]",General,['Приключения'],133,"['ООС. Любителям доброго дедушки Дамблдора', 'компетентного Министерства и адекватных Пожирателей смерти - не читать. И вообще волшебный мир показан не с самой лучшей стороны.']",['40083'],Английский,,/serie442,,"[3.9884076259891016e+18, 6.346232877285314e+18]","[3.028082269248088e+18, 5.091602363353723e+18, 1.256868442053431e+18, 7.260920065589541e+18]",5187
2011-07-16,2011-07-16,H,5689,0,23,['95033'],"[['Драко Малфой', 'Астория Гринграсс']]",General,"['Ангст', 'Драма']",4,['От первого лица (POV)'],,,,,,"[2.334639774015813e+18, 3.9757208002563354e+18]",[5.091602363353723e+18],30
2013-09-14,2013-10-09,H,15883,1,24,['127549'],"[['Грегори Гойл', 'Новый Женский Персонаж'], ['Драко Малфой', 'Астория Гринграсс']]",PG-13,"['Экшен', 'Романтика']",92,"['Этот фанфик является продолжением фанфика ""На прочность"". Соответственно', 'несмотря на то', 'что это - самостоятельное произведение', 'без отсылок к первому фанфику серии не обошлось.']",,,,/serie315,,"[8.789486978127918e+18, 4.1101388437963965e+18]","[5.091602363353723e+18, 2.2622014820230628e+18]",111
2018-10-05,2018-10-05,G,5099,1,18,['452667'],"['Гарри Поттер', 'Северус Снейп']",PG-13,"['Ангст', 'Юмор', 'Драма', 'Hurt/comfort']",23,['Нецензурная лексика'],,,,/serie1799,,[5.839507042892471e+18],[3.281018045554982e+18],401
2017-05-23,2017-05-23,S,2111,0,12,['46500'],"[['Персиваль Грейвс', 'Геллерт Гриндевальд']]",R,['Драма'],16,"['AU', 'Сомнительное согласие']",,,,/serie1249,,"[8.987348408769146e+18, 1.1302573396578415e+18, 4.414957327612308e+17, 2.919433236061518e+18, 8.876342901032378e+18]","[5.521066326736961e+18, 8.741477871658636e+18]",94
2012-10-20,2012-10-20,H,9190,0,14,['59666'],"[['Драко Малфой', 'Гермиона Грейнджер']]",PG-13,"['Фэнтези', 'Юмор']",12,['AU'],,,['61639'],,,"[5.361194980177486e+18, 2.490739165449839e+18]","[5.091602363353723e+18, 8.94765061936755e+18]",215
2016-05-26,2016-05-26,S,13685,2,79,"['265885', '249572']","[['Гарри Поттер', 'Северус Снейп']]",NC-17,['PWP'],27,,,,,/serie1013,,"[6.262436941629131e+18, 6.825037009579871e+18, 7.13708326159056e+17]",[5.091602363353723e+18],1093
2011-06-28,2011-06-28,S,4796,0,52,['49655'],"['Лили Эванс (Лили Поттер)', 'Неизвестный Персонаж', 'Новый Персонаж']",R,['Пародия'],8,['фри-лексика'],,,,,,"[4.5135588467145303e+18, 8.038340171646241e+18, 7.393011223078967e+18, 2.7560397338692707e+17]","[2.2622014820230628e+18, 2.593952817060485e+18]",26
2015-11-03,2015-11-26,S,28218,2,23,['46737'],"[['Сириус Блэк', 'Люциус Малфой'], ['Гарри Поттер', 'Драко Малфой']]",NC-17,"['Экшен', 'Романтика']",153,"['AU', 'ООС', 'Пытки']",,,"['58350', '85557']",,/challenge28,"[8.27804635029297e+17, 5.384983427537859e+18]","[9.093989600810537e+18, 2.593952817060485e+18, 7.285076916399111e+18]",606
2015-05-24,2015-05-24,H,6181,0,4,['123161'],"[['Гарри Поттер', 'Кэти Белл']]",General,"['Общий', 'Флафф']",20,"['ООС', 'От первого лица (POV)']",,,['65300'],/serie647,,"[5.478433428167904e+18, 3.430009041604048e+17, 8.490762441169634e+18]","[6.056618888267434e+18, 7.285076916399111e+18, 8.94765061936755e+18]",255
2013-09-04,2013-09-04,G,3254,0,5,['49800'],"[['Гермиона Грейнджер', 'Рон Уизли'], 'Драко Малфой', 'Нарцисса Малфой', 'Новый Женский Персонаж']",PG-13,"['Общий', 'Юмор']",22,[' возможно ООС'],,,,,,[3.544314168223618e+17],"[5.091602363353723e+18, 3.2269359891538053e+18, 9.093989600810537e+18]",40
2018-01-29,2018-01-29,H,14779,4,13,['389309'],"[['Гермиона Грейнджер', 'Драко Малфой'], 'Гарри Поттер', 'Рон Уизли']",PG-13,"['Флафф', 'Юмор', 'Романтика']",38,"['AU', 'ООС', 'Нецензурная лексика']",,,['406913'],,,"[6.015756628007056e+18, 2.921800802963735e+18, 4.414957327612308e+17, 3.5128236051336305e+18, 5.668778863362967e+18]","[9.093989600810537e+18, 5.091602363353723e+18, 8.34488660499559e+17]",682
2016-04-08,2016-04-08,G,1600,0,27,['48618'],"['Билл Уизли', 'Гаррик Олливандер']",General,['Общий'],28,,,,['63383'],,/challenge24,[2.5786268884122465e+18],"[9.093989600810537e+18, 2.2622014820230628e+18]",96
2013-01-06,2015-01-07,S,49332,1,83,['KJmom'],"[['Чарли Уизли', 'Рон Уизли']]",NC-17,"['Романтика', 'Драма']",172,"['Инцест', 'ООС', 'Нецензурная лексика']",['43402'],Английский,['56676'],,,"[2.0651731393035684e+18, 8.977375557548965e+18]","[5.420764329290495e+18, 2.593952817060485e+18, 7.285076916399111e+18, 3.281018045554982e+18]",468
2013-04-15,2013-04-15,S,3567,0,10,['82471'],"[['Новый Мужской Персонаж', 'Почти Безголовый Ник']]",R,"['Общий', 'Романтика']",3,,,,,,,[3.7302036894331387e+18],"[8.94765061936755e+18, 2.2622014820230628e+18, 7.735869343941925e+18, 7.285076916399111e+18]",33
2018-01-09,2018-01-09,H,7195,8,114,['218095'],"[['Гермиона Грейнджер', 'Северус Снейп']]",General,"['Общий', 'Романтика']",16,"['AU', 'ООС']",,,['140452'],,/challenge53,[1.3752688182424292e+18],[5.091602363353723e+18],526
2014-04-17,2014-04-17,G,7635,1,9,['82471'],"[['Фенрир Грейбек', 'Роза Уизли'], ['Гермиона Грейнджер', 'Рон Уизли'], ['Артур Уизли', 'Молли Уизли'], 'Гарри Поттер']",NC-17,"['Экшен', 'Ангст', 'Драма']",36,"['Кровькишкираспидорасило', 'графично прописанные сцены насилия', 'смерть персонажей', 'каннибализм', 'насилие над несовершеннолетней (несексуальное)', 'околостокгольмский почтисиндром. Примечание: поскольку согласно законодательству РФ графично описывать секс с несовершеннолетними нельзя', 'а пытки несовершеннолетних можно', 'то в некоторых радостях жизни Фенриру Грейбеку было категорически отказано.']",,,,,,"[8.757761150362355e+17, 9.068548682140995e+18, 7.71860435159599e+18, 2.5758278709057014e+18, 7.96857750348296e+18]","[2.6589479962767648e+17, 2.4209866212287263e+18, 2.593952817060485e+18, 7.285076916399111e+18, 1.8354575537094717e+18, 6.085209664702086e+18, 1.256868442053431e+18, 7.260920065589541e+18, 5.265453167772786e+18, 2.2622014820230628e+18]",177
2010-03-14,2010-03-14,S,17385,1,10,['36366'],"[['Гарри Поттер', 'Драко Малфой']]",R,['Романтика'],38,,,,['11361'],,,"[4.791213018665822e+16, 2.8284548344542065e+18, 2.2013560168321106e+18]",[5.091602363353723e+18],436
2018-02-23,2018-07-22,G,93887,11,141,['storyforsomeone'],"[['Локи Лафейсон', 'Гарри Поттер'], 'Тони Старк (Железный человек)', 'Наташа Романофф (Черная Вдова)', 'Клинт Бартон (Хоукай)', 'Стивен Роджерс (Капитан Америка)', 'Брюс Беннер (Халк)', 'Тор Одинсон']",R,"['Ангст', 'Hurt/comfort', 'Кроссовер']",542,"['AU', 'Насилие', 'Нецензурная лексика', 'Слэш', 'ООС']",['52432'],Английский,,,,"[2.2320592715256243e+18, 3.111515648547913e+18, 3.180727132984256e+18, 4.648338208527772e+18]","[3.028082269248088e+18, 7.260920065589541e+18]",1701
2020-02-16,2020-02-16,H,166,0,2,['437705'],"[['Сириус Блэк', 'Друэлла Блэк (Розье)'], 'Вальбурга Блэк']",R,"['Драббл', 'Романтика']",4,"['AU', 'ООС']",,,,/serie2252,,"[8.296852178604573e+18, 6.973349198097814e+17]","[7.678966060302864e+18, 7.285076916399111e+18]",18
2016-09-19,2016-09-19,S,6853,0,8,['61371'],"[['Гарри Поттер', 'Северус Снейп']]",PG-13,"['Ангст', 'Романтика']",14,['AU'],,,['202806'],,,"[4.414957327612308e+17, 3.1860867081872876e+18]","[5.091602363353723e+18, 5.88522318442138e+18]",507
2011-05-13,2011-05-13,S,21025,0,33,['43551'],"[['Драко Малфой', 'Гарри Поттер']]",NC-17,"['Драма', 'Романтика']",8,['От первого лица (POV)'],,,['43943'],,,[7.467913646277005e+18],"[5.091602363353723e+18, 9.093989600810537e+18]",415
2017-03-17,2017-03-17,H,4349,0,20,['241984'],"['Живоглот', 'Гарри Поттер', 'Гермиона Грейнджер']",PG-13,"['Флафф', 'Романтика']",5,['AU'],,,"['47664', '80670', '235701']",/serie1270,/challenge43,"[6.263105548947604e+18, 4.360743096673327e+18]","[9.093989600810537e+18, 8.607079560928971e+18]",278
2007-10-01,2010-08-24,H,551739,9,629,['1740'],"[['Гарри Поттер', 'Гермиона Грейнджер']]",PG-13,"['Приключения', 'Романтика', 'Кроссовер']",1384,,,,,/serie96,,"[2.953267043624288e+17, 6.519114581472127e+18, 2.559603217631601e+18, 3.677051539589609e+17, 7.66351432588936e+18]","[9.16433052224095e+18, 2.529615222968058e+18, 9.049884987810632e+17, 7.260920065589541e+18]",2734
2007-01-25,2009-04-21,H,13550,0,3,['ReeraTheRed'],"['Ремус Люпин', 'Северус Снейп']",PG-13,['Драма'],94,,['38434'],,,,,"[5.366038919405182e+18, 4.486881372502493e+18]",[],48
2013-05-21,2014-04-27,H,2630892,94,9422,['118734'],"[['Гарри Поттер', 'Флер Делакур'], ['Ремус Люпин', 'Нимфадора Тонкс'], ['Невилл Лонгботтом', 'Луна Лавгуд'], ['Сириус Блэк', 'Новый Женский Персонаж']]",R,"['Экшен', 'Романтика']",2156,['AU'],,,,/serie318,,"[4.5177677933811384e+18, 3.149026525624103e+18]","[3.700828417029084e+18, 6.910148155097983e+17, 2.593952817060485e+18, 3.028082269248088e+18, 3.281018045554982e+18, 7.260920065589541e+18, 9.16433052224095e+18, 6.975747470636897e+18, 4.973737079736205e+18, 7.40523466161727e+17]",9197
2017-01-09,2017-01-09,G,5189,2,48,['235701'],"['Северус Снейп', 'Альбус Дамблдор', 'Минерва МакГонагалл', 'Игорь Каркаров']",General,['Пропущенная сцена'],14,,,,['241984'],/serie1205,/challenge36,"[4.2654380617097887e+18, 7.580034079341618e+18, 1.4286297428901053e+18]",[7.574395207039825e+18],309
2019-01-20,2019-01-20,H,8063,0,9,['51146'],"['Гарри Поттер', 'Гермиона Грейнджер', 'Рон Уизли', 'Джинни Уизли']",G,['Ангст'],5,"['AU', 'ООС']",,,"['86122', '176332']",/serie1880,,"[3.0989848872719503e+18, 4.2463786466334546e+18, 6.12754288656543e+18, 6.769680357004281e+18]",[],202
2012-08-17,2012-08-19,S,13216,1,25,['56685'],"[['Гарри Поттер', 'Драко Малфой'], 'Колин Криви']",PG-13,"['Флафф', 'Романтика']",24,['AU'],,,['46769'],,,"[6.431071508788128e+18, 1.25927051220053e+18, 2.559603217631601e+18, 5.482904132120665e+18, 8.657692714946513e+18, 3.566847414395021e+18]","[3.281018045554982e+18, 3.2269359891538053e+18]",393
2013-10-24,2013-10-24,H,9365,0,10,['riptey'],"[['Драко Малфой', 'Гермиона Грейнджер']]",General,"['Общий', 'Романтика']",35,['AU'],['142211'],Английский,,,,[7.174918350116344e+18],"[5.091602363353723e+18, 3.2269359891538053e+18]",396
2016-11-19,2017-01-05,S,33573,2,91,['61371'],"[['Гарри Поттер', 'Северус Снейп']]",PG-13,['Романтика'],101,['AU'],,,['202806'],,,"[3.7306784388573466e+18, 8.285014262226755e+18, 4.74977520547608e+18, 4.2764635831172326e+18]","[8.495340661862281e+18, 5.091602363353723e+18]",843
2018-12-05,2018-12-05,G,2360,0,3,['280449'],"[['Беллатриса Лестрейндж', 'Родольфус Лестрейндж'], ['Люциус Малфой', 'Нарцисса Малфой'], 'Северус Снейп', 'Августус Руквуд', 'Алекто Кэрроу', 'Амикус Кэрроу', 'Рабастан Лестрейндж', 'Трэверс', 'Яксли', 'Антонин Долохов']",General,"['Комедия', 'Пародия']",6,,,,,/serie1823,,"[4.643486609846169e+18, 8.194920416430167e+18, 5.40089922393052e+18, 3.5944244333169274e+17]",[],150
2018-04-18,2018-04-18,H,4928,0,9,['40472'],"[['Гарри Поттер', 'Гермиона Грейнджер'], 'Живоглот']",General,"['Общий', 'Драббл']",5,"['AU', 'ООС']",,,['181551'],,,[2.5559298486040044e+18],[3.281018045554982e+18],360
2016-05-19,2016-05-19,G,2273,1,2,['223228'],"['Драко Малфой', 'Дин Винчестер', 'Сэмюэль Винчестер (Сэм)', 'Кастиэль (Кас)']",PG-13,"['Кроссовер', 'Юмор']",14,"['AU', 'ООС']",,,['61970'],,,"[4.2782382433435607e+18, 6.722163193074018e+18, 4.79294927189414e+18, 1.3491999327876685e+18]",[],45
2013-10-20,2013-10-21,S,20157,2,263,['43957'],"[['Гарри Поттер', 'Драко Малфой', 'Сириус Блэк'], 'Северус Снейп']",PG-13,"['Экшен', 'Ангст', 'Ужасы', 'Пародия']",8,"[' мат', 'попытка суицида.']",,,['57735'],/serie385,,"[1.8658538665358195e+18, 4.79294927189414e+18, 5.317652466290297e+18, 7.142991936025654e+18, 8.606818291303802e+18]",[8.607079560928971e+18],571
2012-09-28,2012-09-28,H,8084,5,17,['62576'],"[['Люциус Малфой', 'Нарцисса Малфой']]",R,"['Драма', 'Романтика']",5,['От первого лица (POV)'],,,,,,"[4.942051935057574e+18, 2.559603217631601e+18, 4.932468241433076e+18]",[2.531777133842788e+18],102
2013-06-10,2013-06-10,H,4438,0,9,['58697'],"[['Марлин МакКиннон', 'Питер Петтигрю']]",R,"['Даркфик', 'Сайдстори', 'Драма']",11,,,,,,,"[1.192652574820563e+17, 5.870958750909486e+18]","[5.091602363353723e+18, 7.678966060302864e+18, 5.265453167772786e+18]",42
2011-06-28,2011-06-28,G,9420,0,62,['46788'],"[['Билл Уизли', 'Флер Делакур'], 'Гермиона Грейнджер']",не указан,['Пропущенная сцена'],5,,,,,,,"[2.421259716454673e+18, 8.349647819886223e+18, 3.631540598794655e+18, 4.2029902384454313e+18, 8.786160481759003e+18]","[5.091602363353723e+18, 9.093989600810537e+18, 1.8354575537094717e+18]",197
2015-11-22,2015-11-22,H,1801,0,4,['126858'],"[['Рон Уизли', 'Луна Лавгуд']]",PG-13,['Романтика'],10,,,,,,,"[3.8468055674252063e+18, 7.314533297023692e+17]","[9.16433052224095e+18, 7.285076916399111e+18, 5.091602363353723e+18]",26
2014-08-03,2016-07-27,H,120668,12,194,['116858'],"[['Драко Малфой', 'Гермиона Грейнджер'], 'Невилл Лонгботтом', 'Гарри Поттер', 'Новый Мужской Персонаж', 'Барти Крауч-младший', 'Нарцисса Малфой']",PG-13,"['Общий', 'Детектив', 'Приключения']",519,['AU'],,,['460607'],,,[3.9980384915098353e+18],"[9.093989600810537e+18, 5.091602363353723e+18, 2.3318309850395216e+16, 8.948249269879234e+18]",1432
2014-09-23,2014-09-23,S,12073,3,15,['Batsutousai'],"[['Гарри Поттер', 'Альбус Дамблдор']]",R,"['Драма', 'Флафф', 'Романтика']",42,"['AU', 'ООС', 'Смерть персонажа']",['137347'],Английский,['93614'],,,"[5.344633611073148e+18, 1.301954930313268e+18, 8.716282577068105e+18, 3.1053951414455086e+18, 6.371652939632933e+18]","[2.593952817060485e+18, 7.285076916399111e+18, 5.88522318442138e+18, 4.265965420776659e+18, 7.873377399912332e+18, 5.494196018564324e+18, 5.521066326736961e+18]",602
2017-01-09,2017-01-09,H,2561,1,28,['341545'],"[['Северус Снейп', 'Луна Лавгуд']]",General,"['Общий', 'Романтика']",10,['AU'],,,,,/challenge36,"[1.958659971115661e+18, 1.69699326604563e+18, 1.9672348107300111e+18]",[7.285076916399111e+18],235
